5470467037734648|05|2028|539
5470467037736163|05|2028|160
5470467037738367|05|2028|500
5470467037735710|05|2028|315
5470467037733004|05|2028|130
5470467037730885|05|2028|418
5470467037738532|05|2028|907
5470467037733780|05|2028|566
5470467037737617|05|2028|998
5470467037737906|05|2028|190
5470467037736734|05|2028|672
5470467037732790|05|2028|787
5470467037730695|05|2028|496
5470467037730869|05|2028|994
5470467037731313|05|2028|763
5470467037739746|05|2028|546
5470467037735520|05|2028|189
5470467037735447|05|2028|125
5470467037730760|05|2028|721
5470467037737435|05|2028|841
5470467037731719|05|2028|960
5470467037732725|05|2028|776
5470467037739795|05|2028|753
5470467037738607|05|2028|486
5470467037730307|05|2028|562
5470467037733889|05|2028|631
5470467037739696|05|2028|973
5470467037732600|05|2028|342
5470467037730695|05|2028|193
5470467037737385|05|2028|430
